common_answer,first_name_equality,organization_similarity,email_equality,year_difference,last_name_length,initials_equality,namespace_size,country_equality,city_equality,organization_type_equality,jds_similarity,sts_similarity
0,0.125,0.37142857142857144,0,0.09090909090909091,0.11764705882352941,0,0.0223185448009212,1,0,1,0.0,0.0022799179435148667
0,0.0,0.0,0,0.045454545454545456,0.29411764705882354,0,0.0036604660306879993,0,0,0,0.0,0.1885904095233894
1,1.0,0.0,0,0.045454545454545456,0.29411764705882354,1,0.005326867446193022,0,0,0,0.1211347486300737,0.09790618094814295
1,0.33333333333333337,0.0,0,0.07575757575757576,0.29411764705882354,1,0.006272409822406546,0,0,0,0.367922841240214,0.30342347506367745
1,1.0,0.0,0,0.0,0.17647058823529413,1,0.017347425971521387,0,0,0,0.5597833249658015,0.22705738869683745
1,1.0,0.0,0,0.12121212121212122,0.17647058823529413,1,0.009230740425213215,0,0,0,0.054543198680103926,0.1713906104848025
1,1.0,0.5,0,0.09090909090909091,0.47058823529411764,1,0.0006553263993559077,1,0,1,0.6062115450041736,0.39586786383806705
1,0.6666666666666667,0.0,0,0.10606060606060606,0.23529411764705882,0,0.014660587734162166,0,0,0,0.06365116364302027,0.149896911154269
1,1.0,0.0,0,0.09090909090909091,0.29411764705882354,1,0.007096248724453973,0,0,0,0.4696737053165588,0.3720557128377278
1,0.30000000000000004,0.23076923076923073,0,0.06060606060606061,0.29411764705882354,1,0.0008425625134575957,0,0,0,0.22050024849839428,0.3552917709087004
1,1.0,0.0,0,0.12121212121212122,0.29411764705882354,1,0.0013574618272372376,0,0,0,0.14833287188154812,0.41746526580981963
1,1.0,0.0,0,0.030303030303030304,0.29411764705882354,1,0.0024340694833219433,0,0,0,0.5559933218843277,0.2558552389899913
1,1.0,0.0,0,0.045454545454545456,0.17647058823529413,1,0.0017600194725558667,0,0,0,0.3817306500141785,0.25112131063105886
1,1.0,0.2564102564102564,0,0.0,0.23529411764705882,1,0.002125129895054158,1,1,0,0.0,0.08289822556398055
1,1.0,0.967741935483871,0,0.13636363636363635,0.35294117647058826,1,0.0002808541711525319,1,1,1,0.6064239141094631,0.11174297827256771
1,0.125,0.1515151515151515,0,0.16666666666666666,0.17647058823529413,1,0.007311570255670914,0,0,0,0.010072186491147283,0.18818960757503148
1,1.0,0.9473684210526316,0,0.16666666666666666,0.17647058823529413,1,0.0028834361571659943,1,1,1,0.017106219428569887,0.02789777621976447
1,1.0,0.0,0,0.045454545454545456,0.23529411764705882,1,0.0009080951533931864,0,0,0,0.0,0.1111277007035428
1,1.0,0.0,0,0.07575757575757576,0.29411764705882354,1,0.000683411816471161,0,0,0,0.016337714140230587,0.030396806267057753
1,0.75,0.0,0,0.13636363636363635,0.11764705882352941,0,0.0013106527987118155,0,0,0,0.2763866071378303,0.21110430395115512
1,1.0,0.0,0,0.07575757575757576,0.35294117647058826,1,0.007386464701311589,0,0,0,0.06346701138913928,0.06156958551659738
